dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,23,минимум,4,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,23,минимум,3.5,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,26,минимум,5,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,26,минимум,6,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,26,минимум,4,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,26,минимум,3.5,минимум,,
http://www.wikidata.org/entity/Q38301,Шотландский сеттер,Шотландия,62,,25.5,,,
http://www.wikidata.org/entity/Q38301,Шотландский сеттер,Шотландия,62,,29.5,,,
http://www.wikidata.org/entity/Q38301,Шотландский сеттер,Шотландия,66,,25.5,,,
http://www.wikidata.org/entity/Q38301,Шотландский сеттер,Шотландия,66,,29.5,,,
http://www.wikidata.org/entity/Q38394,Трансильванская гончая,Венгрия,55,минимум,25,минимум,,
http://www.wikidata.org/entity/Q38383,английский бульдог,Великобритания,,,23,,,
http://www.wikidata.org/entity/Q38383,английский бульдог,Великобритания,,,25,,,
http://www.wikidata.org/entity/Q38263,Русская цветная болонка,Россия,,,,,,
http://www.wikidata.org/entity/Q38353,Black and Tan Virginia Foxhound,США,,,,,,
http://www.wikidata.org/entity/Q38399,Грюнендаль,Бельгия,,,,,,
http://www.wikidata.org/entity/Q38312,Раджапалайям,Индия,,,,,,
http://www.wikidata.org/entity/Q38322,бультерьер,Англия,22,максимум,,,,
http://www.wikidata.org/entity/Q38322,бультерьер,Англия,21,минимум,,,,
http://www.wikidata.org/entity/Q38403,Кромфорлендер,Германия,38,минимум,14,максимум,,
http://www.wikidata.org/entity/Q38403,Кромфорлендер,Германия,38,минимум,16,максимум,,
http://www.wikidata.org/entity/Q38403,Кромфорлендер,Германия,38,минимум,9,минимум,,
http://www.wikidata.org/entity/Q38403,Кромфорлендер,Германия,38,минимум,11,минимум,,
http://www.wikidata.org/entity/Q38425,Новозеландская овчарка,Новая Зеландия,,,,,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,минимум,62,максимум,,
http://www.wikidata.org/entity/Q38459,Dogo Sardesco,Италия,,,,,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,минимум,37,минимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,минимум,48,минимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,минимум,50,максимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,минимум,62,максимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,минимум,37,минимум,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,минимум,48,минимум,,
http://www.wikidata.org/entity/Q38510,Буль-энд-терьеры,Британские острова,,,,,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,минимум,72.5747792,минимум,,
http://www.wikidata.org/entity/Q38494,малинуа,Бельгия,,,,,,
http://www.wikidata.org/entity/Q38508,Kangal Shepherd Dog,Турция,,,,,,
http://www.wikidata.org/entity/Q38509,Бульдог кампейро,Бразилия,,,,,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,минимум,104.3262451,максимум,,
http://www.wikidata.org/entity/Q38520,Black Slovakian Shepherd,Словакия,,,,,,
http://www.wikidata.org/entity/Q38442,Guatemalan Dogo,Гватемала,,,,,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,минимум,72.5747792,минимум,,
http://www.wikidata.org/entity/Q38452,Каракачанская собака,Греция,,,,,,
http://www.wikidata.org/entity/Q38416,Восточносибирская лайка,Россия,60,максимум,,,,
http://www.wikidata.org/entity/Q38416,Восточносибирская лайка,Россия,64,максимум,,,,
http://www.wikidata.org/entity/Q38416,Восточносибирская лайка,Россия,53,минимум,,,,
http://www.wikidata.org/entity/Q38416,Восточносибирская лайка,Россия,57,минимум,,,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,минимум,104.3262451,максимум,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,минимум,77.1107029,максимум,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,минимум,77.1107029,максимум,,
http://www.wikidata.org/entity/Q38468,Chien Français Blanc et Noir,Франция,68,максимум,,,,
http://www.wikidata.org/entity/Q38468,Chien Français Blanc et Noir,Франция,72,максимум,,,,
http://www.wikidata.org/entity/Q38468,Chien Français Blanc et Noir,Франция,62,минимум,,,,
http://www.wikidata.org/entity/Q38468,Chien Français Blanc et Noir,Франция,65,минимум,,,,
http://www.wikidata.org/entity/Q38515,Гренландская собака,Гренландия,60,минимум,,,,
http://www.wikidata.org/entity/Q38515,Гренландская собака,Гренландия,55,минимум,,,,
http://www.wikidata.org/entity/Q38475,French Tricolour Hound,Франция,68,максимум,,,,
http://www.wikidata.org/entity/Q38475,French Tricolour Hound,Франция,72,максимум,,,,
http://www.wikidata.org/entity/Q38472,Français Blanc et Orange,Франция,70,максимум,,,,
http://www.wikidata.org/entity/Q38475,French Tricolour Hound,Франция,60,минимум,,,,
http://www.wikidata.org/entity/Q38475,French Tricolour Hound,Франция,62,минимум,,,,
