dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,76,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,68,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,70,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38675,Комондор,Венгрия,65,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,70,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,64,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,66,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39073,Рафейру ду Алентежу,Португалия,74,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q39093,Ротвейлер,Германия,61,http://www.wikidata.org/entity/Q10585806,50,,,
http://www.wikidata.org/entity/Q39093,Ротвейлер,Германия,68,http://www.wikidata.org/entity/Q10578722,50,,,
http://www.wikidata.org/entity/Q39093,Ротвейлер,Германия,63,http://www.wikidata.org/entity/Q10578722,50,,,
http://www.wikidata.org/entity/Q39093,Ротвейлер,Германия,56,http://www.wikidata.org/entity/Q10585806,50,,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,62,,48,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,68,,48,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,http://www.wikidata.org/entity/Q10585806,48,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,70,http://www.wikidata.org/entity/Q10578722,48,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,http://www.wikidata.org/entity/Q10585806,48,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,76,http://www.wikidata.org/entity/Q10578722,48,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,70,http://www.wikidata.org/entity/Q10578722,47,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38688,Ризеншнауцер,Германия,60,http://www.wikidata.org/entity/Q10585806,47,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,62,,46,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q21098,Бладхаунд,Бельгия,68,,46,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37929,Дирхаунд,Шотландия,71,http://www.wikidata.org/entity/Q10585806,45.5,,,
http://www.wikidata.org/entity/Q37929,Дирхаунд,Шотландия,76,http://www.wikidata.org/entity/Q10585806,45.5,,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,67,http://www.wikidata.org/entity/Q10585806,45,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,62,http://www.wikidata.org/entity/Q10585806,45,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,73.5,http://www.wikidata.org/entity/Q10578722,45,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21074,Мареммо-абруццкая овчарка,Италия,70,http://www.wikidata.org/entity/Q10578722,45,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q21082,Кане-корсо,Италия,58,http://www.wikidata.org/entity/Q10585806,45,http://www.wikidata.org/entity/Q10585806,,
